Location,Time,PopTotal
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Afghanistan,2020,38928.341
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
Africa,2020,1340598.113
African Group,2020,1338826.591
African Union,2020,1339423.921
African Union: Central Africa,2020,158619.638
African Union: Eastern Africa,2020,392563.672
African Union: Northern Africa,2020,207032.899
African Union: Southern Africa,2020,184002.188
African Union: Western Africa,2020,397205.524
"African, Caribbean and Pacific (ACP) Group of States",2020,1179679.906
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Albania,2020,2877.8
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
Algeria,2020,43851.043
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
American Samoa,2020,55.197
Andean Community,2020,113170.819
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Andorra,2020,77.265
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Angola,2020,32866.268
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Anguilla,2020,15.002
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Antigua and Barbuda,2020,97.928
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Argentina,2020,45195.777
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Armenia,2020,2963.234000000001
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Aruba,2020,106.766
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia,2020,4641054.786
Asia-Pacific Economic Cooperation (APEC),2020,2972249.482
Asia-Pacific Group,2020,4621682.23
Association of Southeast Asian Nations (ASEAN),2020,667301.412
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia,2020,25499.881
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Australia/New Zealand,2020,30322.114
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Austria,2020,9006.4
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
Azerbaijan,2020,10139.175
BRIC,2020,3177822.028
BRICS,2020,3237130.718000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahamas,2020,393.2480000000001
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bahrain,2020,1701.583
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Bangladesh,2020,164689.383
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Barbados,2020,287.371
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belarus,2020,9449.321
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belgium,2020,11589.616000000002
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belize,2020,397.621
Belt-Road Initiative (BRI),2020,3403061.795
Belt-Road Initiative: Africa,2020,1192659.576
Belt-Road Initiative: Asia,2020,1572525.725
Belt-Road Initiative: Europe,2020,413895.375
Belt-Road Initiative: Latin America and the Caribbean,2020,208569.955
Belt-Road Initiative: Pacific,2020,15411.164
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Benin,2020,12123.198
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bermuda,2020,62.273
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Bhutan,2020,771.612
Black Sea Economic Cooperation (BSEC),2020,343357.186
Bolivarian Alliance for the Americas (ALBA),2020,58690.348
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
Bolivia (Plurinational State of),2020,11673.029
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
"Bonaire, Sint Eustatius and Saba",2020,26.221
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Bosnia and Herzegovina,2020,3280.815
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Botswana,2020,2351.625
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
Brazil,2020,212559.409
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
British Virgin Islands,2020,30.237
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Brunei Darussalam,2020,437.483
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Bulgaria,2020,6948.445
Burkina Faso,2020,20903.278
Burkina Faso,2020,20903.278
Burkina Faso,2020,20903.278
Burkina Faso,2020,20903.278
